lat_grid,lon_grid,historical_events,log_events,historical_risk,risk_level
22.0,78.0,1,0.6931471805599453,10.21,LOW
22.0,92.75,12,2.5649493574615367,37.78,LOW
22.0,93.0,1,0.6931471805599453,10.21,LOW
22.25,92.5,30,3.4339872044851463,50.58,MODERATE
22.25,92.75,55,4.02535169073515,59.29,MODERATE
22.25,93.0,50,3.9318256327243257,57.91,MODERATE
22.25,93.25,3,1.3862943611198906,20.42,LOW
22.5,92.5,10,2.3978952727983707,35.32,LOW
22.5,92.75,68,4.23410650459726,62.37,HIGH
22.5,93.0,91,4.5217885770490405,66.6,HIGH
22.5,93.25,1,0.6931471805599453,10.21,LOW
22.75,92.5,22,3.1354942159291497,46.19,MODERATE
22.75,92.75,140,4.948759890378168,72.89,HIGH
22.75,93.0,26,3.295836866004329,48.55,MODERATE
23.0,92.5,45,3.828641396489095,56.4,MODERATE
23.0,92.75,175,5.170483995038151,76.16,HIGH
23.0,93.0,56,4.04305126783455,59.55,MODERATE
23.0,93.25,34,3.5553480614894135,52.37,MODERATE
23.25,91.5,2,1.0986122886681098,16.18,LOW
23.25,92.5,67,4.219507705176107,62.15,HIGH
23.25,92.75,343,5.840641657373398,86.03,CRITICAL
23.25,93.0,85,4.454347296253507,65.61,HIGH
23.25,93.25,92,4.532599493153256,66.76,HIGH
23.25,93.5,8,2.1972245773362196,32.36,LOW
23.5,92.5,31,3.4657359027997265,51.05,MODERATE
23.5,92.75,417,6.035481432524756,88.9,CRITICAL
23.5,93.0,71,4.276666119016055,62.99,HIGH
23.5,93.25,147,4.997212273764115,73.61,HIGH
23.5,93.5,21,3.091042453358316,45.53,MODERATE
23.75,91.25,2,1.0986122886681098,16.18,LOW
23.75,91.5,3,1.3862943611198906,20.42,LOW
23.75,91.75,1,0.6931471805599453,10.21,LOW
23.75,92.0,16,2.833213344056216,41.73,MODERATE
23.75,92.25,11,2.4849066497880004,36.6,LOW
23.75,92.5,54,4.007333185232471,59.03,MODERATE
23.75,92.75,479,6.173786103901937,90.94,CRITICAL
23.75,93.0,139,4.941642422609304,72.79,HIGH
23.75,93.25,62,4.143134726391533,61.03,HIGH
23.75,93.5,13,2.6390573296152584,38.87,LOW
24.0,91.5,3,1.3862943611198906,20.42,LOW
24.0,91.75,5,1.791759469228055,26.39,LOW
24.0,92.0,4,1.6094379124341003,23.71,LOW
24.0,92.25,35,3.58351893845611,52.78,MODERATE
24.0,92.5,18,2.9444389791664403,43.37,MODERATE
24.0,92.75,132,4.890349128221754,72.03,HIGH
24.0,93.0,105,4.663439094112067,68.69,HIGH
24.0,93.25,57,4.060443010546419,59.81,MODERATE
24.0,93.5,25,3.258096538021482,47.99,MODERATE
24.0,93.75,1,0.6931471805599453,10.21,LOW
24.0,94.0,75,4.330733340286331,63.79,HIGH
24.0,94.25,4,1.6094379124341003,23.71,LOW
24.25,91.75,2,1.0986122886681098,16.18,LOW
24.25,92.25,20,3.044522437723423,44.85,MODERATE
24.25,92.5,15,2.772588722239781,40.84,MODERATE
24.25,92.75,95,4.564348191467836,67.23,HIGH
24.25,93.0,93,4.543294782270004,66.92,HIGH
24.25,93.25,50,3.9318256327243257,57.91,MODERATE
24.25,93.5,55,4.02535169073515,59.29,MODERATE
24.25,93.75,40,3.713572066704308,54.7,MODERATE
24.25,94.0,81,4.406719247264253,64.91,HIGH
24.25,94.25,35,3.58351893845611,52.78,MODERATE
24.5,92.25,11,2.4849066497880004,36.6,LOW
24.5,92.5,7,2.0794415416798357,30.63,LOW
24.5,92.75,30,3.4339872044851463,50.58,MODERATE
24.5,93.0,25,3.258096538021482,47.99,MODERATE
24.5,93.25,34,3.5553480614894135,52.37,MODERATE
24.5,93.5,12,2.5649493574615367,37.78,LOW
24.5,93.75,29,3.4011973816621555,50.1,MODERATE
24.5,94.0,3,1.3862943611198906,20.42,LOW
24.5,94.25,49,3.912023005428146,57.62,MODERATE
24.75,92.25,2,1.0986122886681098,16.18,LOW
24.75,92.5,5,1.791759469228055,26.39,LOW
24.75,92.75,6,1.9459101490553132,28.66,LOW
24.75,93.0,8,2.1972245773362196,32.36,LOW
24.75,93.25,54,4.007333185232471,59.03,MODERATE
24.75,93.5,151,5.0238805208462765,74.0,HIGH
24.75,93.75,115,4.7535901911063645,70.02,HIGH
24.75,94.0,9,2.302585092994046,33.92,LOW
24.75,94.25,89,4.499809670330265,66.28,HIGH
24.75,94.5,30,3.4339872044851463,50.58,MODERATE
25.0,92.25,38,3.6635616461296463,53.96,MODERATE
25.0,92.5,50,3.9318256327243257,57.91,MODERATE
25.0,92.75,51,3.9512437185814275,58.2,MODERATE
25.0,93.0,46,3.8501476017100584,56.71,MODERATE
25.0,93.25,10,2.3978952727983707,35.32,LOW
25.0,93.5,88,4.48863636973214,66.12,HIGH
25.0,93.75,40,3.713572066704308,54.7,MODERATE
25.0,94.0,10,2.3978952727983707,35.32,LOW
25.0,94.25,79,4.382026634673881,64.55,HIGH
25.0,94.5,116,4.762173934797756,70.15,HIGH
25.0,94.75,5,1.791759469228055,26.39,LOW
25.25,90.25,1,0.6931471805599453,10.21,LOW
25.25,90.75,4,1.6094379124341003,23.71,LOW
25.25,91.0,7,2.0794415416798357,30.63,LOW
25.25,91.25,17,2.8903717578961645,42.57,MODERATE
25.25,91.5,50,3.9318256327243257,57.91,MODERATE
25.25,91.75,106,4.672828834461906,68.83,HIGH
25.25,92.0,86,4.465908118654584,65.78,HIGH
25.25,92.25,44,3.8066624897703196,56.07,MODERATE
25.25,92.5,40,3.713572066704308,54.7,MODERATE
25.25,92.75,13,2.6390573296152584,38.87,LOW
25.25,93.0,178,5.187385805840755,76.41,HIGH
25.25,93.25,64,4.174387269895637,61.49,HIGH
25.25,93.5,11,2.4849066497880004,36.6,LOW
25.25,93.75,76,4.343805421853684,63.98,HIGH
25.25,94.0,42,3.7612001156935624,55.4,MODERATE
25.25,94.25,41,3.7376696182833684,55.06,MODERATE
25.25,94.5,79,4.382026634673881,64.55,HIGH
25.5,90.0,7,2.0794415416798357,30.63,LOW
25.5,90.25,17,2.8903717578961645,42.57,MODERATE
25.5,90.75,20,3.044522437723423,44.85,MODERATE
25.5,91.0,10,2.3978952727983707,35.32,LOW
25.5,91.25,80,4.394449154672439,64.73,HIGH
25.5,91.5,23,3.1780538303479458,46.81,MODERATE
25.5,91.75,95,4.564348191467836,67.23,HIGH
25.5,92.0,59,4.0943445622221,60.31,HIGH
25.5,92.25,28,3.367295829986474,49.6,MODERATE
25.5,92.5,8,2.1972245773362196,32.36,LOW
25.5,92.75,6,1.9459101490553132,28.66,LOW
25.5,93.0,15,2.772588722239781,40.84,MODERATE
25.5,93.25,28,3.367295829986474,49.6,MODERATE
25.5,93.5,29,3.4011973816621555,50.1,MODERATE
25.5,93.75,69,4.248495242049359,62.58,HIGH
25.5,94.0,70,4.2626798770413155,62.79,HIGH
25.5,94.25,120,4.795790545596741,70.64,HIGH
25.5,94.5,81,4.406719247264253,64.91,HIGH
25.5,94.75,63,4.1588830833596715,61.26,HIGH
25.5,95.0,2,1.0986122886681098,16.18,LOW
25.75,90.25,3,1.3862943611198906,20.42,LOW
25.75,90.5,4,1.6094379124341003,23.71,LOW
25.75,90.75,3,1.3862943611198906,20.42,LOW
25.75,91.0,39,3.6888794541139363,54.34,MODERATE
25.75,91.25,27,3.332204510175204,49.08,MODERATE
25.75,91.5,5,1.791759469228055,26.39,LOW
25.75,91.75,49,3.912023005428146,57.62,MODERATE
25.75,92.0,66,4.204692619390966,61.93,HIGH
25.75,92.25,4,1.6094379124341003,23.71,LOW
25.75,92.5,17,2.8903717578961645,42.57,MODERATE
25.75,92.75,8,2.1972245773362196,32.36,LOW
25.75,93.0,7,2.0794415416798357,30.63,LOW
25.75,93.25,3,1.3862943611198906,20.42,LOW
25.75,93.5,11,2.4849066497880004,36.6,LOW
25.75,93.75,53,3.9889840465642745,58.76,MODERATE
25.75,94.0,332,5.808142489980444,85.55,CRITICAL
25.75,94.25,130,4.875197323201151,71.81,HIGH
25.75,94.5,78,4.3694478524670215,64.36,HIGH
25.75,94.75,74,4.31748811353631,63.6,HIGH
25.75,95.0,22,3.1354942159291497,46.19,MODERATE
26.0,74.75,1,0.6931471805599453,10.21,LOW
26.0,90.5,2,1.0986122886681098,16.18,LOW
26.0,91.25,1,0.6931471805599453,10.21,LOW
26.0,91.5,18,2.9444389791664403,43.37,MODERATE
26.0,91.75,40,3.713572066704308,54.7,MODERATE
26.0,92.0,29,3.4011973816621555,50.1,MODERATE
26.0,92.25,18,2.9444389791664403,43.37,MODERATE
26.0,92.5,63,4.1588830833596715,61.26,HIGH
26.0,92.75,4,1.6094379124341003,23.71,LOW
26.0,93.5,5,1.791759469228055,26.39,LOW
26.0,93.75,1,0.6931471805599453,10.21,LOW
26.0,94.0,80,4.394449154672439,64.73,HIGH
26.0,94.25,94,4.553876891600541,67.08,HIGH
26.0,94.5,104,4.653960350157523,68.55,HIGH
26.0,94.75,65,4.189654742026425,61.71,HIGH
26.0,95.0,21,3.091042453358316,45.53,MODERATE
26.25,90.25,1,0.6931471805599453,10.21,LOW
26.25,90.5,1,0.6931471805599453,10.21,LOW
26.25,91.25,1,0.6931471805599453,10.21,LOW
26.25,91.75,82,4.418840607796598,65.09,HIGH
26.25,92.0,11,2.4849066497880004,36.6,LOW
26.25,92.75,1,0.6931471805599453,10.21,LOW
26.25,93.0,2,1.0986122886681098,16.18,LOW
26.25,93.25,11,2.4849066497880004,36.6,LOW
26.25,93.75,7,2.0794415416798357,30.63,LOW
26.25,94.0,11,2.4849066497880004,36.6,LOW
26.25,94.25,73,4.30406509320417,63.4,HIGH
26.25,94.5,64,4.174387269895637,61.49,HIGH
26.25,94.75,54,4.007333185232471,59.03,MODERATE
26.25,95.0,60,4.110873864173311,60.55,HIGH
26.5,90.5,2,1.0986122886681098,16.18,LOW
26.5,93.0,8,2.1972245773362196,32.36,LOW
26.5,93.25,2,1.0986122886681098,16.18,LOW
26.5,93.5,6,1.9459101490553132,28.66,LOW
26.5,93.75,2,1.0986122886681098,16.18,LOW
26.5,94.25,24,3.2188758248682006,47.41,MODERATE
26.5,94.5,42,3.7612001156935624,55.4,MODERATE
26.5,94.75,45,3.828641396489095,56.4,MODERATE
26.5,95.0,58,4.07753744390572,60.06,HIGH
26.5,95.25,1,0.6931471805599453,10.21,LOW
26.75,88.25,189,5.247024072160486,77.29,HIGH
26.75,88.5,12,2.5649493574615367,37.78,LOW
26.75,89.0,3,1.3862943611198906,20.42,LOW
26.75,89.25,37,3.6375861597263857,53.58,MODERATE
26.75,89.5,154,5.043425116919247,74.29,HIGH
26.75,89.75,121,4.804021044733257,70.76,HIGH
26.75,94.5,5,1.791759469228055,26.39,LOW
26.75,94.75,20,3.044522437723423,44.85,MODERATE
26.75,95.0,119,4.787491742782046,70.52,HIGH
26.75,95.25,9,2.302585092994046,33.92,LOW
27.0,88.0,123,4.820281565605037,71.0,HIGH
27.0,88.25,642,6.466144724237619,95.24,CRITICAL
27.0,88.5,782,6.663132695990803,98.15,CRITICAL
27.0,88.75,162,5.093750200806762,75.03,HIGH
27.0,89.0,2,1.0986122886681098,16.18,LOW
27.0,92.0,2,1.0986122886681098,16.18,LOW
27.0,92.5,17,2.8903717578961645,42.57,MODERATE
27.0,92.75,23,3.1780538303479458,46.81,MODERATE
27.0,93.25,1,0.6931471805599453,10.21,LOW
27.0,93.5,41,3.7376696182833684,55.06,MODERATE
27.0,93.75,17,2.8903717578961645,42.57,MODERATE
27.0,95.25,5,1.791759469228055,26.39,LOW
27.0,95.5,18,2.9444389791664403,43.37,MODERATE
27.0,95.75,24,3.2188758248682006,47.41,MODERATE
27.25,88.0,35,3.58351893845611,52.78,MODERATE
27.25,88.25,212,5.3612921657094255,78.97,HIGH
27.25,88.5,281,5.641907070938114,83.1,CRITICAL
27.25,88.75,102,4.634728988229636,68.27,HIGH
27.25,92.25,6,1.9459101490553132,28.66,LOW
27.25,92.5,26,3.295836866004329,48.55,MODERATE
27.25,92.75,5,1.791759469228055,26.39,LOW
27.25,93.0,68,4.23410650459726,62.37,HIGH
27.25,93.25,12,2.5649493574615367,37.78,LOW
27.25,93.5,12,2.5649493574615367,37.78,LOW
27.25,93.75,95,4.564348191467836,67.23,HIGH
27.25,95.75,14,2.70805020110221,39.89,LOW
27.25,96.0,19,2.995732273553991,44.13,MODERATE
27.25,96.25,5,1.791759469228055,26.39,LOW
27.5,88.25,9,2.302585092994046,33.92,LOW
27.5,88.5,91,4.5217885770490405,66.6,HIGH
27.5,88.75,47,3.871201010907891,57.02,MODERATE
27.5,91.75,17,2.8903717578961645,42.57,MODERATE
27.5,92.0,32,3.4965075614664802,51.5,MODERATE
27.5,92.25,6,1.9459101490553132,28.66,LOW
27.5,93.0,44,3.8066624897703196,56.07,MODERATE
27.5,93.75,7,2.0794415416798357,30.63,LOW
27.5,95.25,2,1.0986122886681098,16.18,LOW
27.5,96.5,14,2.70805020110221,39.89,LOW
27.75,88.5,22,3.1354942159291497,46.19,MODERATE
27.75,88.75,8,2.1972245773362196,32.36,LOW
27.75,93.5,24,3.2188758248682006,47.41,MODERATE
27.75,93.75,20,3.044522437723423,44.85,MODERATE
27.75,94.0,37,3.6375861597263857,53.58,MODERATE
27.75,94.25,4,1.6094379124341003,23.71,LOW
27.75,94.75,38,3.6635616461296463,53.96,MODERATE
27.75,95.0,2,1.0986122886681098,16.18,LOW
27.75,96.25,1,0.6931471805599453,10.21,LOW
28.0,93.25,2,1.0986122886681098,16.18,LOW
28.0,93.5,3,1.3862943611198906,20.42,LOW
28.0,94.25,4,1.6094379124341003,23.71,LOW
28.0,94.5,11,2.4849066497880004,36.6,LOW
28.0,94.75,14,2.70805020110221,39.89,LOW
28.0,95.0,2,1.0986122886681098,16.18,LOW
28.0,95.25,22,3.1354942159291497,46.19,MODERATE
28.0,96.25,15,2.772588722239781,40.84,MODERATE
28.0,96.5,57,4.060443010546419,59.81,MODERATE
28.25,94.25,2,1.0986122886681098,16.18,LOW
28.25,94.5,3,1.3862943611198906,20.42,LOW
28.25,94.75,9,2.302585092994046,33.92,LOW
28.25,95.0,21,3.091042453358316,45.53,MODERATE
28.25,95.25,45,3.828641396489095,56.4,MODERATE
28.25,95.5,66,4.204692619390966,61.93,HIGH
28.25,95.75,66,4.204692619390966,61.93,HIGH
28.25,96.0,34,3.5553480614894135,52.37,MODERATE
28.25,96.5,27,3.332204510175204,49.08,MODERATE
28.5,94.25,1,0.6931471805599453,10.21,LOW
28.5,94.5,1,0.6931471805599453,10.21,LOW
28.5,94.75,14,2.70805020110221,39.89,LOW
28.5,95.0,10,2.3978952727983707,35.32,LOW
28.5,95.25,29,3.4011973816621555,50.1,MODERATE
28.5,95.75,35,3.58351893845611,52.78,MODERATE
28.5,96.0,3,1.3862943611198906,20.42,LOW
28.75,94.75,15,2.772588722239781,40.84,MODERATE
28.75,95.0,14,2.70805020110221,39.89,LOW
28.75,95.75,17,2.8903717578961645,42.57,MODERATE
28.75,96.0,25,3.258096538021482,47.99,MODERATE
29.0,95.75,5,1.791759469228055,26.39,LOW
29.25,79.25,18,2.9444389791664403,43.37,MODERATE
29.25,79.5,115,4.7535901911063645,70.02,HIGH
29.25,79.75,59,4.0943445622221,60.31,HIGH
29.25,80.0,127,4.852030263919617,71.47,HIGH
29.25,80.25,26,3.295836866004329,48.55,MODERATE
29.5,78.75,1,0.6931471805599453,10.21,LOW
29.5,79.0,23,3.1780538303479458,46.81,MODERATE
29.5,79.25,115,4.7535901911063645,70.02,HIGH
29.5,79.5,179,5.19295685089021,76.49,HIGH
29.5,79.75,51,3.9512437185814275,58.2,MODERATE
29.5,80.0,172,5.153291594497779,75.91,HIGH
29.5,80.25,68,4.23410650459726,62.37,HIGH
29.5,80.5,1,0.6931471805599453,10.21,LOW
29.75,78.5,74,4.31748811353631,63.6,HIGH
29.75,78.75,63,4.1588830833596715,61.26,HIGH
29.75,79.0,118,4.77912349311153,70.4,HIGH
29.75,79.25,65,4.189654742026425,61.71,HIGH
29.75,79.5,20,3.044522437723423,44.85,MODERATE
29.75,79.75,81,4.406719247264253,64.91,HIGH
29.75,80.0,52,3.970291913552122,58.48,MODERATE
29.75,80.25,87,4.477336814478207,65.95,HIGH
29.75,80.5,20,3.044522437723423,44.85,MODERATE
30.0,77.25,1,0.6931471805599453,10.21,LOW
30.0,78.0,1,0.6931471805599453,10.21,LOW
30.0,78.25,14,2.70805020110221,39.89,LOW
30.0,78.5,178,5.187385805840755,76.41,HIGH
30.0,78.75,235,5.4638318050256105,80.48,CRITICAL
30.0,79.0,108,4.6913478822291435,69.1,HIGH
30.0,79.25,58,4.07753744390572,60.06,HIGH
30.0,79.5,197,5.288267030694535,77.89,HIGH
30.0,79.75,96,4.574710978503383,67.38,HIGH
30.0,80.0,246,5.5093883366279774,81.15,CRITICAL
30.0,80.25,109,4.700480365792417,69.24,HIGH
30.0,80.5,24,3.2188758248682006,47.41,MODERATE
30.0,80.75,15,2.772588722239781,40.84,MODERATE
30.25,78.0,12,2.5649493574615367,37.78,LOW
30.25,78.25,44,3.8066624897703196,56.07,MODERATE
30.25,78.5,108,4.6913478822291435,69.1,HIGH
30.25,78.75,120,4.795790545596741,70.64,HIGH
30.25,79.0,137,4.927253685157205,72.58,HIGH
30.25,79.25,226,5.424950017481403,79.91,HIGH
30.25,79.5,73,4.30406509320417,63.4,HIGH
30.25,79.75,13,2.6390573296152584,38.87,LOW
30.25,80.0,4,1.6094379124341003,23.71,LOW
30.25,80.25,3,1.3862943611198906,20.42,LOW
